startingleadership_title;Starting Leadership.;;;;;;;;;;;;x;;;
startingleadership_desc;Lets you start with some generals.;;;;;;;;;;;;x;;;
notechs_title;Starting Techs.;;;;;;;;;;;;x;;;
notechs_desc;If you don't have starting techs defines then this will give you some.;;;;;;;;;;;;x;;;
phi_becomestate_NEWS_LONG;The fighting in the Phillipines has finally ended! After a long and gruelling geurilla war between the remaining American and Japanese forces the American forces stand victorious. The frequent importation of American troops and material during the 15 year long struggle has lead to a dependence and fraternal relationship between the Phillipine people and the American Military Administration. With peace finally returning to the islands the Phillipine Civil Government has formally requested statehood with the American government, with a swift approval strongly expected.;;;;;;;;;;;;x;;;
phi_becomestate_NEWS_MEDIUM;The Phillipines has been granted statehood! After a gruelling 15 year guerilla war recently won with the continued American support, the Phillipines has opted to join the Union!;;;;;;;;;;;;x;;;
phi_becomestate_NEWS_SHORT;All welcome the new 50th state!;;;;;;;;;;;;x;;;
EVTDESC500016_NEWS_LONG;The fighting in the Phillipines has finally ended! After a long and gruelling geurilla war between the remaining American and Japanese forces the American forces stand victorious. The frequent importation of American troops and material during the 15 year long struggle has lead to a dependence and fraternal relationship between the Phillipine people and the American Military Administration. With peace finally returning to the islands the Phillipine Civil Government has formally requested statehood with the American government, with a swift approval strongly expected.;;;;;;;;;;;;x;;;
EVTDESC500016_NEWS_MEDIUM;The Phillipines has been granted statehood! After a gruelling 15 year guerilla war recently won with the continued American support, the Phillipines has opted to join the Union!;;;;;;;;;;;;x;;;
EVTDESC500016_NEWS_SHORT;All welcome the new 50th state!;;;;;;;;;;;;x;;;
demorus_title;Unite with the Russian Federal Republic.;;;;;;;;;;;;x;;;
demorus_desc;Some like minded groups have formed alongside us during the fall of the Soviet Union. Our differences are negligible and our relationship amiciable; we should unite!;;;;;;;;;;;;x;;;
westalaska_title;The West Alaskan Government forms!;;;;;;;;;;;;x;;;
westalaska_desc;After a lengthy process we have finally kicked the haunting vistages of communism out of the region. We can finally unite the people under a democratic flag. The Americans have been a continued source of economic assistance during this endeavor, what's more suitable than for us to declare ourselves the Republic of West Alaska!;;;;;;;;;;;;x;;;
ciafunding_title;American Funding.;;;;;;;;;;;;x;;;
ciafunding_desc;Some men from overseas today arrived and informed us that a few polititians in America believe there is something worth salvaging in the remains of Russia. They claim that if we pay a little lip service to the American government then they can convince these polititians to approve economic assistance to us.;;;;;;;;;;;;x;;;
shippurchase_title;American ship purchase.;;;;;;;;;;;;x;;;
shippurchase_desc;Our naval facilities cannot keep up with our larger neighbours; it is necessary to rely on our foreign friends to make up for the gap.;;;;;;;;;;;;x;;;
WA_capital_title;Pride of the Fleet.;;;;;;;;;;;;x;;;
WA_capital_desc;What we cannot make up for in quantity, we will make up for in quality! It is time we pool our resources towards a mighty ship worthwhile of being our pride!;;;;;;;;;;;;x;;;
Form_SCA_title;Form the North Sea Pragmatic Alliance.;;;;;;;;;;;;x;;;
Form_SCA_desc;Despite our differences all North Sea countries face perilous threats to our independence. We should unite for the purpose of mutual defense!;;;;;;;;;;;;x;;;
synthrubber_factory; Synthetic Rubber Factory;;;;;;;;;;;;x;;;
rus_uni;Russian Unification;;;;;;;;;;;;x;;;
rus_uni_short;Russian Unification of $STATE$;;;;;;;;;;;;x;;;
rus_uni_setup;Acquire $STATE$;;;;;;;;;;;;x;;;
tiny_conquest;Tiny Conquest;;;;;;;;;;;;x;;;
tiny_conquest_short;Annex $RECIPIENT$;;;;;;;;;;;;x;;;
tiny_conquest_setup;Annex $RECIPIENT$;;;;;;;;;;;;x;;;
acquire_capital;Take Capital;;;;;;;;;;;;x;;;
acquire_capital_short;Take $RECIPIENT$ capital;;;;;;;;;;;;x;;;
acquire_capital_setup;Take $RECIPIENT$ capital;;;;;;;;;;;;x;;;
negotiated_transfer;Negotiated Transfer;;;;;;;;;;;x
afr_oil_wars_desc;Invade West African country for oil.;;;;;;;;;;;;x;;;
cfr_proclaim_real_france_title;Free France!;;;;;;;;;;;;x;;;
cfr_proclaim_real_france_desc;The traitor collaborators in Vichy are no more than a puppet government of the Germans! We have a foothold in France, it is time we reclaim our home!;;;;;;;;;;;;x;;;
cfr_form_france_title;Form France!;;;;;;;;;;;;x;;;
cfr_form_france_desc;The Vichy government is no more! We can rejoice as the only true French government.;;;;;;;;;;;;x;;;
cfr_on_north_africa_title;Across the Mediterranean.;;;;;;;;;;;;x;;;
cfr_on_north_africa_desc;We have reached the north coast of Africa and reclaimed the rightful French colonial possessions. Now we will cross the sea to France itself!;;;;;;;;;;;;x;;;
event500146desc;Turmoil has gripped Indonesia as the dominant coalition of Indonesian political parties has broken apart. The formerly united parties now squabble as local independence movements crop up among Indonesia's diverse populace.;;;;;;;;;;;;x;;;
event500147desc;The collapse of the Indonesian National Party has inspired local dissidents to organize their own independence movement! §R This will go away faster with troops in the area.;;;;;;;;;;;;x;;;
eic_rebel_end_title;Reorganize the Indonesian National Party.;x
eic_rebel_end_desc;The Indonesian National Party is rife with weakness and infighting. In order to stabilize the country a drastic redrawing of the political landscape must occur. §R The will end the independence movement events.;x
eic_accepted_title;Reign in Disenfranchised Minorities.;x
eic_accepted_desc;The western parts of Indonesia were never content with the pan-Indonesia comprimise. The solution they desired mirrored the nearby India's split with its muslim populations. Having stabilized the country we are now ready to send out our secret police en masse to round up these troublemakers.;x
eir_form_title;Free Indonesia!;x
eir_form_desc;Despite our goals of independence, it is widely recognized that survival is only possible through mutual struggle. The pragmatic solution of banding together is necessary in order to survive the wrath of the oppresive Indonesian regime!;x
eir_inherit_title;Unify the Independence Movements.;x
eir_inherit_desc;The main motivator of independence movements in Indonesia was the lack of self-determination and governance. The new unified independence movement offers that in abundance, and so local secessionists are very willing to live under our rule.;x
HND_1;Eastern United Provinces;x
hnd_famine;Vacant Farms;x
hnd_developing;Industrial Development;x
dev_south_title;Southern Industrial Development Plan.;x
dev_south_desc;The deindustrialisation of India started when the Indian economy was colonised under the British Empire, leading to the implementation of British protectionist policies, restricting sales of Indian goods and services within Britain while exposing Indian markets to British goods and services, without tariffs and quotas. With the departure of the British after World War 2 they have left behind a byzantine bureaucratic system of regulations and red tape. This system of bureaucracy, known popularly as the "Permit Raj" in a mocking comparison to British rule, is extremely corrupt and severely stunts economic growth as well. Only direct government intervention can solve this problem.;x
dev_nwest_title;Northwestern Industrial Development Plan.;x
dev_nwest_desc;The deindustrialisation of India started when the Indian economy was colonised under the British Empire, leading to the implementation of British protectionist policies, restricting sales of Indian goods and services within Britain while exposing Indian markets to British goods and services, without tariffs and quotas. With the departure of the British after World War 2 they have left behind a byzantine bureaucratic system of regulations and red tape. This system of bureaucracy, known popularly as the "Permit Raj" in a mocking comparison to British rule, is extremely corrupt and severely stunts economic growth as well. Only direct government intervention can solve this problem.;x
dev_neast_title;Northeastern Industrial Development Plan.;x
dev_neast_desc;The deindustrialisation of India started when the Indian economy was colonised under the British Empire, leading to the implementation of British protectionist policies, restricting sales of Indian goods and services within Britain while exposing Indian markets to British goods and services, without tariffs and quotas. With the departure of the British after World War 2 they have left behind a byzantine bureaucratic system of regulations and red tape. This system of bureaucracy, known popularly as the "Permit Raj" in a mocking comparison to British rule, is extremely corrupt and severely stunts economic growth as well. Only direct government intervention can solve this problem.;x
finish_dev_title;India Modernized!;x
finish_dev_desc;With the conclusion of the industrial development plans the Indian economy is finally ready for privatization and growth beyond carefully constructed government intervention plans. §R This will change some political parties to allow factory building.;x
muslim_compromise_title;Freedom of Religion Act of $YEAR$;x
muslim_compromise_desc;The Preamble of the Indian Constitution has the word "secular", and articles 25 to 28 implying that the State will not discriminate, patronise or meddle in the profession of any religion. However, it does not shield individual religions or groups by adding religious rights as a fundamental right. This gap is a result of the tumultuous period in religious relations that occured during the Indian independence and the subsequent Bengali-Pakistan independence conflicts. By amending these articles to guarantee religious rights India will set it's course on a path of reconciliation. §R This will lock you out of passing the National Security act. You will get accepted pops and cores on Pakistan and Bengal through this path.;x
india_security_act_title;National Security Act of $YEAR$;x
india_security_act_desc;The possibility of war with the East has forced the government to divert a considerable amount of the budget for military purposes, hamstringing vital and dearly needed social programs and subsidies. The National Security Act will guarantee the continuation of these practices and extend them to internal security matters. The resulting militarization of the police and allocation of emergency powers to the president will go far to prevent unrest on the homefront. §R This will lock you out of passing the Freedom of Religion act. This path will prevent unified Indian Separatists from rising.;x
hnd_sa;National Security Reforms;x
restore_bengal_title;Reconcile with Muslim minorities;x
restore_bengal_desc;The guarantee of religious rights has endeered us greatly to the Muslim population and the generally disenfranchised. With Bengal and Pakistan long being subject to Hindu rule this has lead to massive acceptance of Indian rule in the subcontinent.;x
greater_india_title;Akhand Bharat!;x
greater_india_desc;Akhand Bharat (transl. Undivided India), also known as Akhand Hindustan, is a term for the concept of a unified Greater India.It asserts that modern-day Afghanistan, Bengal, India, Burma, and Pakistan are one nation.;x
hnd_nerf;Unified Separatist Movement;x
event500155desc;India's legacy of ethnic and religious division has caught up with it as separatist groups sieze government municipalities nationwide. Law and order has broken down across the country and international spectators are left shocked by the sudden collapse of the Dheli government.;x
cdn_council;Council Called.;x
cdn_focus_give_up_title;Dissolve the Council.;x
cdn_focus_give_up_desc;The lack of successful activity in the decades since the end of World War 2 has clearly proven the ineffectiveness of this union of 'displaced nations.' The general concensus is that the administration of the O.F.N. and the U.S.A. would be much more effective in leading a return to Europe. §R This ends your game!;x
cdn_council_call_title;Hold International Council on Exile Activities.;x
cdn_council_call_desc;Just as the Netherlands served as the gateway to Europe for international trade, it also served as the gateway for European refugees in the wake of World War 2. The council of displaced nations consists of political refugees from various places conquered by the germanic reich and its allies, such as the Netherlands, Norway, Denmark, Greece, and others. Its headquarters is in Guyana and despite the predominantly Dutch leadership the movement serves as a home for exiled Europeans desiring a louder voice than what would be afforded to them in America or the British Commonwealth.;x
cdn_focus_guyana_title;Solidify Control Over Guyana.;x
cdn_focus_guyana_desc;Guyana serves as the headquarters for the gathering and organization of the Dutch lead exile organization. With the influx of political refugees in recent years the former Dutch colony is running out of room and supplies. We need to expand into the rest of Guyana.;x
cdn_focus_venezuela_title;Topple the Jimenez Dictatorship.;x
cdn_focus_venezuela_desc;The dictatorship of Perez Jimenez in neighboring Venezuela has long been a contentious point among the O.F.N. and South American democracies. Despite the concerns its neighbors have had about Venezuela's territorial claims and military juntas it has recieved ample support from the U.S.A. due to the special privileges American oil companies are allowed in the country. Through the lobbying of multiple free nations in the O.F.N. assembly we have a good chance of getting approval for a military intervention.;x
cdn_focus_norway_title;Liberate Norway!;x
cdn_focus_norway_desc;We should liberate Norway!;x
cdn_focus_benelux_title;Liberate Netherlands!;x
cdn_focus_benelux_desc;We should liberate Netherlands!;x
cdn_focus_denmark_title;Liberate Denmark!;x
cdn_focus_denmark_desc;Although Denmark fell to the German Reich in just a few hours, holdouts of resistance still remain in Greenland and Iceland. It is from there that we will stage our liberation!;x
cdn_focus_greece_title;Liberate Greece!;x
cdn_focus_greece_desc;Greece fought the hardest and the longest against the German Reich and its allies in World War 2. Exiles from the nation at the thought of returning and starting the fight anew!;x
cdn_focus_indonesia_title;Reclaim the East Indies!;x
cdn_focus_indonesia_desc;The old guard of the Dutch imperialists are pushing for us to restore our possesions in the East Indies. This sounds like a great idea!;x
beef_cb;B.E.E.F. Expedition;;;;;;;;;;;;x;;;
beef_cb_short;B.E.E.F. Restoration of Raj $STATE$;;;;;;;;;;;;x;;;
beef_cb_setup;Acquire $STATE$ §R This CB costs 4 infamy, despite what this menu says.;;;;;;;;;;;;x;;;
beef_cb_desc;The B.E.E.F. expands! §R This CB costs 4 infamy, despite what this menu says.;x
cbr_beef_title;Establish the British Empire Expeditionary Force.;x
cbr_beef_desc;The unification of the central countries of the British commonwealth has lead many to the expectation that the Commonwealth would continue on the reunify even the colonial possesions where British are the ethnic minority. None are more staunch proponents of this than Louis Mountbatten, the former Supreme Allied Commander of the Southeast Asia Command. Mountbatten served prestigiously in various naval commands in World War 2 and has many political connections among the exiled British monarchists due to being a close relative of the British royal family. With the collapse of India he has rallied many of his imperial supporters into advocating the establishment of the British Empire Expeditionary Force to restore the former colonial possesion. §R THE CB YOU WILL GET IS NOT FREE!!! IT COSTS 4 INFAMY DO NOT CRY ABOUT THINKING IT IS FREE!;x
cbr_beef_annex_title;Mountbatten Triumphant!;x
cbr_beef_annex_desc;Mountbatten has done the impossible! With just a small garrison tucked away on Ceylon he has reconquered all of India! Despite international condemnation of our intervention in India and the claims of British warcrimes, the reality of the situation is clear. The Indian Raj returns with its new Viceroy and Governor-General Louis Mountbatten!;x
ss_england_title;Establish SS Britannia;;;;;;;;;;;;x
ss_england_desc;The Germanisation programs are simply not sustainable. In order to secure the Reichskommissariat we should start recruiting our security forces from the local population.;;;;;;;;;;;;x
COR_expand_title;Governorate of Cornwall.;x
COR_expand_desc;The failure of the British in containing their wanton aggression has forced us to intervene directly in the day to day machinations of their government.;x
COR_england_title;Restore Order In England!;x
COR_england_desc;The German Reich's presence in Plymouth is no meaningless chance occupation: after Churchill's "Fight on the Beaches" speech it became apparent to all that the British would never serioussly negotiate or honor any future truces made in the conclusion of the war. Thus, the Plymouth Military Occupation was born in order to conduct anti-resistance operations and keep the Britoid in check. However, with the advent of England's full-scale rebellion the garrison is ready to fully mobilize and crush them.;x
FIN_2;Savonia;x
FIN_3;Ostrobothnia;x
nes_sge_title;Assess the Near East Situation.;x
nes_sge_desc;The momentary lapse in German stability has sent shockwaves throughout our sphere of influence. Untermensch ideas of communism and democracy have been reported by the Abwehr in Bohemia, Poland, and Slovakia, and in some places it has been outright declared. Now that we've solidified our rule we should address this. §R This will unlock decisions (and a few casus belli) to sphere and turn Bohemia, Slovakia, Poland, and Czechoslovakia fascist. Once all of these countries are fascist or nonexistant you will unlock the decisions to address the situation further east.;x
nes_sge_pol_title;Reinstate National Socialism in Poland.;x
nes_sge_pol_desc;Hey. Basically I'm just gonna leave a filler description here. I know.... UGH I know..... I'm sorry!!!!!! It's just that I'm gonna leave a filler description is all;x
nes_sge_slv_title;Reinstate National Socialism in Slovakia.;x
nes_sge_slv_desc;Hey. Basically I'm just gonna leave a filler description here. I know.... UGH I know..... I'm sorry!!!!!! It's just that I'm gonna leave a filler description is all;x
nes_sge_boh_title;Reinstate National Socialism in Bohemia.;x
nes_sge_boh_desc;Hey. Basically I'm just gonna leave a filler description here. I know.... UGH I know..... I'm sorry!!!!!! It's just that I'm gonna leave a filler description is all;x
nes_sge_czh_title;Reinstate National Socialism in Czechoslovakia.;x
nes_sge_czh_desc;Hey. Basically I'm just gonna leave a filler description here. I know.... UGH I know..... I'm sorry!!!!!! It's just that I'm gonna leave a filler description is all;x
fes_sge_title;Assess the Far East Situation.;x
fes_sge_desc;The momentary lapse in German stability has sent shockwaves throughout our sphere of influence. Untermensch ideas of communism and democracy have been reported by the Abwehr in Muscovy, the Baltics, and Ukraine, and in some places it has been outright declared. Now that we've dealt with our nearer protectorates we should address this. §R This will unlock decisions (and a few casus belli) to sphere and turn Muscovy, the Baltics, and Ukraine fascist.;x
fes_sge_msc_title;Reinstate National Socialism in Moscow.;x
fes_sge_msc_desc;Hey. Basically I'm just gonna leave a filler description here. I know.... UGH I know..... I'm sorry!!!!!! It's just that I'm gonna leave a filler description is all;x
fes_sge_ukr_title;Reinstate National Socialism in Ukraine;x
fes_sge_ukr_desc;Hey. Basically I'm just gonna leave a filler description here. I know.... UGH I know..... I'm sorry!!!!!! It's just that I'm gonna leave a filler description is all;x
fes_sge_blt_title;Reinstate National Socialism in the Baltics.;x
fes_sge_blt_desc;Hey. Basically I'm just gonna leave a filler description here. I know.... UGH I know..... I'm sorry!!!!!! It's just that I'm gonna leave a filler description is all;x
nes_bge_title;Assess the Near East Situation.;x
nes_bge_desc;The momentary lapse in German stability has sent shockwaves throughout our sphere of influence. Untermensch ideas of sedition and self rule have been reported by the Abwehr in Bohemia, Poland, and Slovakia, and in some places it has been outright declared. Now that we've solidified our rule we should address this. §R This will unlock decisions (and a few casus belli) to puppet and turn Bohemia, Slovakia, Poland, and Czechoslovakia fascist. Once all of these countries are puppeted or nonexistant you will unlock the decisions to address the situation further east.;x
nes_bge_pol_title;Restore the Reichskommissariat in Poland.;x
nes_bge_pol_desc;Hey. Basically I'm just gonna leave a filler description here. I know.... UGH I know..... I'm sorry!!!!!! It's just that I'm gonna leave a filler description is all;x
nes_bge_slv_title;Restore the Reichskommissariat in Slovakia.;x
nes_bge_slv_desc;Hey. Basically I'm just gonna leave a filler description here. I know.... UGH I know..... I'm sorry!!!!!! It's just that I'm gonna leave a filler description is all;x
nes_bge_boh_title;Restore the Reichskommissariat in Bohemia.;x
nes_bge_boh_desc;Hey. Basically I'm just gonna leave a filler description here. I know.... UGH I know..... I'm sorry!!!!!! It's just that I'm gonna leave a filler description is all;x
nes_bge_czh_title;Restore the Reichskommissariat in Czechoslovakia.;x
nes_bge_czh_desc;Hey. Basically I'm just gonna leave a filler description here. I know.... UGH I know..... I'm sorry!!!!!! It's just that I'm gonna leave a filler description is all;x
fes_bge_title;Assess the Far East Situation.;x
fes_bge_desc;The momentary lapse in German stability has sent shockwaves throughout our sphere of influence. Untermensch ideas of sedition and self rule have been reported by the Abwehr in Muscovy, the Baltics, and Ukraine, and in some places it has been outright declared. Now that we've dealt with our nearer protectorates we should address this. §R This will unlock decisions (and a few casus belli) to puppet and turn Muscovy, the Baltics, and Ukraine fascist.;x
fes_bge_msc_title;Restore the Reichskommissariat in Moscow.;x
fes_bge_msc_desc;Hey. Basically I'm just gonna leave a filler description here. I know.... UGH I know..... I'm sorry!!!!!! It's just that I'm gonna leave a filler description is all;x
fes_bge_ukr_title;Restore the Reichskommissariat in Ukraine;x
fes_bge_ukr_desc;Hey. Basically I'm just gonna leave a filler description here. I know.... UGH I know..... I'm sorry!!!!!! It's just that I'm gonna leave a filler description is all;x
fes_bge_blt_title;Restore the Reichskommissariat in the Baltics.;x
fes_bge_blt_desc;Hey. Basically I'm just gonna leave a filler description here. I know.... UGH I know..... I'm sorry!!!!!! It's just that I'm gonna leave a filler description is all;x
war_plan_0_open_title;War Plan Zero.;x
war_plan_0_open_desc;Central Europe has fallen into anarchy in the wake of the German Civil War. The militarist faction in the Wehrmacht is baying for more blood after getting their first taste in a decade. The German protectorates in Bohemia, Slovakia, and Poland are especially prime targets to test new equipment and train a new generation of soldiers. War Plan Zero will involve restoring the direct German rule that never should have ended in these territories §R War Plan Zero will finish once Bohemia, Slovakia, and Poland no longer exist.;x
war_plan_0_pol_title;Operation Augustus.;x
war_plan_0_pol_desc;The Generalgouvernement, supposedly our most successful vassal, is a rotten dumpster fire of epic proportions. Biting the hand that fed them, the bastard Poles declared independence! The Wehrmacht will not let this stand. We must protect our own inside the region, even if it means crushing a once loyal Reichsprotektorat.;x
war_plan_0_slv_title;Operation Fruhling.;x
war_plan_0_slv_desc;In the dead heat of the Gotterdammerung, Reichsprotektorat Slovakia has bit the hand that fed them! The bastardly ethnic Slavs in our Reichsprotektorat have overthrown the loyal aspects of our duly appointed government, who have shown themselves to be cowards and fled. If you want something done right, it seems, you must do it yourself.;x 
war_plan_0_boh_title;Operation Landsmannschaft.;x
war_plan_0_boh_desc;The Reichsprotektorat of Bohemia and Moravia was setup in order to safeguard the Sudetendeutsche of the land. Now that the Germans whose task was to protect their brother have abandoned their duty, there is no doubt that the subverted Bohemians will revive their misplaced nationalism for the 'Czech' and wage ethnic war on the native Sudetendeutsche! The Wehrmacht is poised to restore order!;x
war_plan_0_czh_title;Operation Aufteilung.;x
war_plan_0_czh_desc;The petty Czech and Slovaks have revived their union state, despite the deep ethnic tensions that drove it apart in the 30's. The Wehrmacht is keen on solving their differences permanently through strict Germanization.;x
war_plan_0_net_title;Operation Sichelschnitt.;x
war_plan_0_net_desc;The Netherlands, in their foolishness, mistook the Reich's internal squabbling for a moment of weakness. They have broken free from our embrace, and it falls upon us to bring them back into the fold. Like a sickle we shall cut through the Lowlands - their lack of natueral barriers only helped us last time, and even their vaunted water line did not stop us. Why should it now?;x
war_plan_a_open_title;War Plan A.;x
war_plan_a_open_desc;Now that the Reich's control over Central Europe has been reestablished, the Wehrmacht is already looking to the Balkans, Scandinavia, and British Isles. War Plan A will involve securing control of these vital areas through German Steel. §R War Plan A will finish once Reichskom. Balkanhalbinsel and Skandinavien are at their greatest extent and once England is fascist while the Cornwall Garison exists.;x
war_plan_a_scba_title;Operation Balkanhalbinsel Und Skandinavien.;x
war_plan_a_scba_desc;The threat that Scandinavia and the Balkans serve as a foothold for the O.F.N. can no longer be ignored by the Wehrmacht. Security of the region and its resources will be prioritized with force! §R This will unlock a special CB against Hungary, Bulgaria, Romania, Finland, Norway, Sweden, and any holding their cores.;x
war_plan_a_eng_title;Operation Sealion II.;x
war_plan_a_eng_desc;Treacherous Albion has used our distraction in the Civil War to fall back into degeneracy and 'free' itself. We will giver them a reminder that the Wehrmacht is the master of Europe! London will fall as it did in the landings of the 40's! §R The CB this provides will establish the Cornwall Garison with a much larger presence and make England a fascist puppet of them.;x
war_plan_b_open_title;War Plan B.;x
war_plan_b_open_desc;The peripheries of Europe are fully under the thumb of the Wehrmacht now. All that is left before the utter destruction of our 'great' rivals and the Judeo-Bolshevist world order is the securing of Western Europe and Eastern Europe. From there the Wehrmacht will start its final great campaign across the Atlantic and Asia! §R War Plan B will finish once Reichskom. Gallien and Lowlands are at their greatest extent and once the German Lebensraum has been reestablished in the east (owns or has puppeted all eastern europe provinces with German majority). You're close to ultimate victory, don't give up now!;x
war_plan_b_frlo_title;Operation Schwarz.;x
war_plan_b_frlo_desc;A former enemy of the German nation, France may be the most failed nation in Western Europe after World War II. Caught in its never-ending dilemma, every aspect of France seems to be in complete chaos due to its inefficient government and the SS behind the shadow, which makes them continue to lose territory and prevents them from being of use to the Einheitspakt.\nInbetween them and us is the Ordenstaat Burgund, lead by the traitorous Heinrich Himmler. In the 50's he lead the Schutzstaffel Putsch while the Wehrmacht was busy with the West Russian War. Now that the Wehrmacht is ready and all immediate distractions have been addressed, it is time to deal with both in one fell swoop. §R This will unlock a special CB for establishing Reichskom. Gallien out of French cores and Reichskom. Lowlands out of Dutch and Belgian cores.;x
war_plan_b_rus_title;Operation Rot.;x
war_plan_b_rus_desc;Eastern Europe was to serve as the lebensraum for the German Volk. In the wake of the German Civil War it served as a breeding ground for Judeo-Bolshevist partisans and other Untermensch. Now that the Wehrmacht has cleared the path east it is in a prime position to completely wipe away the filth that has been bred there and redraw the region in our vision. §R The effect text doesn't state it but this will also give cores on any Ukraine, Moscow, or Baltics core that is majority German.;x
war_plan_c_open_title;War Plan C.;x
war_plan_c_open_desc;East, West, and Central Europe has been utterly dominated by the invincible Wehrmacht. The time for a final great campaign against Judeo-Bolshevism is upon us and none of the nuclear powers of the world can stop us with their decrepit militaries! We only have to kick in the door and the whole rotten structure will come crashing down!;x
goring_wild_ride_c;Annex Judeo-Bolshevik Regime!;x
event500172desc;Operation Balkanhalbinsel Und Skandinavien and Operation Sealion II have been perfect victories! The Wehrmacht has fully secured the flanks in Scandinavia, the Balkans, and Britain. The path to conquering Western and Eastern Europe is now fully open with no obstacles.;x
expand_cornwall;Operation Sealion II;;;;;;;;;;;;x;;;
expand_cornwall_short;Expands Cornwall Garrison.;;;;;;;;;;;;x;;;
expand_cornwall_setup;Expands Cornwall Garrison and makes Britain into a puppet.;;;;;;;;;;;;x;;;
expand_cornwall_desc;Expands Cornwall Garrison and makes Britain into a puppet.;x
expand_burgundy;Burgundian Invasion of France;;;;;;;;;;;;x;;;
expand_burgundy_short;Sieze French Border Regions.;;;;;;;;;;;;x;;;
expand_burgundy_setup;Sieze French Border Regions.;;;;;;;;;;;;x;;;
expand_burgundy_desc;Sieze French Border Regions.;x
goring_wild_ride_a;Operation Balkanhalbinsel Und Skandinavien;;;;;;;;;;;;x;;;
goring_wild_ride_a_short;$THIRD$ acquires $STATE$;;;;;;;;;;;;x;;;
goring_wild_ride_a_setup;Hand $STATE$ to $THIRD$ from $RECIPIENT$;;;;;;;;;;;;x;;;
goring_wild_ride_a_desc;Hand $STATE$ to $THIRD$ from $RECIPIENT$;x
goring_wild_ride_b;Operation Schwarz;;;;;;;;;;;;x;;;
goring_wild_ride_b_short;$THIRD$ acquires $STATE$;;;;;;;;;;;;x;;;
goring_wild_ride_b_setup;Hand $STATE$ to $THIRD$ from $RECIPIENT$;;;;;;;;;;;;x;;;
goring_wild_ride_b_desc;Hand $STATE$ to $THIRD$ from $RECIPIENT$;x
NORMAL_WAR_GWR_1;Operation Sealion II;x
AGRESSION_WAR_GWR_1;Operation Sealion II;x
NORMAL_WAR_GWR_2;$ORDER$ Operation Balkanhalbinsel Und Skandinavien;x
AGRESSION_WAR_GWR_2;$ORDER$ Operation Balkanhalbinsel Und Skandinavien;x
NORMAL_WAR_GWR_3;$ORDER$ Operation Schwarz;x
AGRESSION_WAR_GWR_3;$ORDER$ Operation Schwarz;x
NORMAL_WAR_BRG;Franco-Burgundian War;x
AGRESSION_WAR_BRG;Franco-Burgundian War;x
SUDETENLAND;Sudetenland;x
sanctionsrelief;Industrial Looting;x
event500176desc;The German economy, torn to tatters in the wake of the German Burgerkrieg, is hardly in a position to support the Wehrmacht in another case of total war. Many militarists in the Wehrmacht propose a repeat policy of the industrial looting that took place during the Second World War in order to support the German War economy. §RThis will dampen the impact of international sanctions from going over infamy by turning Bohemia, Slovakia, Poland, Reichskom. Balkanhalbinsel, and Reichskom. Skandinavien into colonial states. It is highly recommended to do this if you want to reach the later War Plans. §BTo be more specific: §GRight now and every time you conquer/expand a Reichskom. puppet to encompass all cores of one of the following countries you will get the modifier 'Industrial Looting' which prevents sanctions and turns the land into colonial states. \nNorway, Sweden, Finland, Romania, Bulgaria, Hungary.;x
event500183desc;The Wehrmacht has been the cultural centerpiece of German society ever since the nations formation by Prussia last century. Its esteemed officer corp has a long tradition of noble Prussian heritage, acting as a stark contrast to the modern jingoism of the fascist militarists. This faction of the 'Old Guard', once content to serve under the unending victories of the Reich, are now becoming increasingly disgruntled with the machinations of the militarist faction and the tacit support they enjoy of the aging Fuhrer Goring.;x
event500180desc;The Wehrmacht clamors for blood and battle to once again prove the might that previously conquered Europe in the 40's. The current idleness of Goring's foreign policy and lack of swift Blitzkrieg towards the conclusion of War Plan 0 is making them restless and unsatisfied.;x
event500181desc;The Wehrmacht clamors for blood and battle to once again prove the might that previously conquered Europe in the 40's. The current idleness of Goring's foreign policy and lack of swift Blitzkrieg towards the conclusion of War Plan A is making them restless and unsatisfied.;x
event500184desc;A group of officers styling themselves as the 'Old Guard' of the Wehrmacht officer corp have siezed key military and governmental institutions overnight, effectively siezing control over the country of Germany. Their ringleader, Hans Speidel, has declared a 'restoration of order' denouncing the jingoist policies of the more National Socialist inclined militarist faction of officers. Even the aging Fuhrer himself did not escape their ire as Hermann Goring was deposed for his complacency in the militarist War Plan policy.;x
PROV3389;Congo Lake;x
middle_east;Middle East;x
central_asia;Central Asia;x
PROV3390;Alboran Islands;x
PROV3391;Palos;x
PROV3392;Ibiza;x
PROV3393;Mahon;x
PROV3394;Puerto de Valencia;x
PROV3395;Columbretes;x
PROV3396;Sitges;x
PROV3397;Lloret de Mar;x
PROV3398;Leucate;x
PROV3399;Arles;x
PROV3400;La Ciotat;x
PROV3401;Hyeres;x
PROV3402;Livorno;x
PROV3403;Portoferraio;x
PROV3404;Orbetello;x
PROV3405;Porta Roma;x
PROV3406;Ischia;x
PROV3407;Suola;x
PROV3408;Mandredonia;x
PROV3409;San Domino;x
PROV3410;Pescara;x
PROV3411;Palagruza;x
PROV3412;Emanuele;x
PROV3413;Kornati;x
PROV3414;Mezza;x
PROV3415;Pannello;x
PROV3416;Cres;x
PROV3417;Medulin;x
PROV3418;Pesaro;x
PROV3419;Schiava;x
PROV3420;Donzella;x
PROV3421;Drenata Venice;x
PROV3422;La Valletta;x
